mode,relative,gamma,n_trials,rel_ppl_rise,rel_ppl_ci95_low,rel_ppl_ci95_high,top1_change,top1_ci95_low,top1_ci95_high,harmful,harmful_k,harmful_n,mean_tv,mean_y_rel_l2,p95_rel_ppl,p99_rel_ppl
sparse,False,0.001,504,0.0008353573211225928,0.0004088073018255774,0.0013358119397996855,0.028273809523809524,0.01773313492063492,0.0404296875,0.25396825396825395,128,504,4.633052456102432e-07,5.53988137115443e-06,0.009703834960366748,0.017355497562629923
sparse,False,0.01,504,0.001304601357406353,0.0005617316441434103,0.0021527580677809174,0.0546875,0.039059399801587305,0.07217571924603174,0.3412698412698413,172,504,4.896860031894951e-06,5.550696533410385e-05,0.01241568519205391,0.04791567177568255
sparse,False,0.1,504,0.0014505475004770612,0.0007458722425305427,0.002198189869101362,0.04724702380952381,0.033100818452380956,0.06274801587301587,0.36507936507936506,184,504,4.641478598555257e-05,0.0005457038331359421,0.012242737800570287,0.03832719420015632
sparse,True,1e-06,504,1.4908510350379077e-05,-2.6315739147457726e-05,6.569188943791302e-05,0.0,0.0,0.0,0.005952380952380952,3,504,3.769933908354889e-09,1.4959134965300388e-07,0.0,3.36934323507862e-05
sparse,True,1e-05,504,4.2739395137800604e-05,-0.00015422564769110092,0.00023180753476265972,0.0033482142857142855,0.0006200396825396825,0.006696428571428571,0.041666666666666664,21,504,3.761402358681809e-08,5.188271293825254e-07,1.5692353032114567e-05,0.009465783579568178
sparse,True,0.0001,504,0.0003978910003029039,-3.48729691639069e-05,0.0008716370470650594,0.019593253968253968,0.010537574404761905,0.030133928571428572,0.1746031746031746,88,504,3.156351658315422e-07,3.5042418262486077e-06,0.006733179292394171,0.014774546808138458
sparse,True,0.001,504,0.0016230438996214765,0.0009567806914911593,0.002247348579855727,0.0496031746031746,0.034102182539682536,0.06808345734126983,0.33134920634920634,167,504,4.460776966823332e-06,5.5019686883251215e-05,0.014124477436855276,0.030033782348405896
sparse,True,0.01,504,0.0009604536811512685,0.00024272304537036754,0.0017830436772152678,0.04625496031746032,0.03149491567460318,0.06225198412698413,0.3492063492063492,176,504,3.857271935820126e-05,0.00047344303112608065,0.010163212650978717,0.029800682448661114
sparse,True,0.1,504,0.001800562189376062,0.0010419174622569795,0.0026588938116442187,0.06560019841269842,0.048980034722222225,0.08482762896825397,0.40476190476190477,204,504,0.00034045449847967395,0.004449597216424044,0.01176796091112655,0.04124558167814083
top2_gap,False,1e-06,504,5.284951632177101e-06,-2.2858791448813916e-05,3.3581307626588193e-05,0.0,0.0,0.0,0.003968253968253968,2,504,6.454840781339045e-09,1.5184363396940865e-07,0.0,6.729896448800036e-06
top2_gap,False,1e-05,504,0.000497136821988699,0.00018410516969666452,0.0008762382906421956,0.017857142857142856,0.008553447420634921,0.028648933531746027,0.06944444444444445,35,504,6.040072990398483e-08,6.910730459611905e-07,0.0038569849861976617,0.016775178173988478
top2_gap,False,0.0001,504,0.0015089490554540449,0.000941178128229869,0.0021084465122527796,0.04811507936507937,0.03261098710317461,0.06411520337301586,0.2976190476190476,150,504,6.448505409791788e-07,7.167333988699257e-06,0.011968801388737441,0.029806687564598665
top2_gap,False,0.001,504,0.0017996449910355795,0.0010743126884267505,0.0025856166842293284,0.057291666666666664,0.04030257936507937,0.07465897817460317,0.39285714285714285,198,504,6.324022294166745e-06,7.46048818415188e-05,0.012923604620400968,0.049515079341435266
top2_gap,False,0.01,504,0.001366377218495112,0.0007107864194093532,0.0020557288590267973,0.04861111111111111,0.034340897817460324,0.06547619047619048,0.38293650793650796,193,504,6.299714178993103e-05,0.0007279143481318177,0.014011761057761392,0.02384588014001821
top2_gap,False,0.1,504,0.000620127373736568,8.195050059603702e-05,0.0011495082158121017,0.046130952380952384,0.032480778769841276,0.0597718253968254,0.36904761904761907,186,504,0.0005860241772494653,0.006806432129295951,0.011045556589585804,0.02563906322709292
top2_gap,True,1e-06,504,0.0004082820371130533,0.0001220403325761887,0.000715655577979191,0.015004960317460318,0.007316468253968254,0.023809523809523808,0.09126984126984126,46,504,7.01684721365363e-08,9.008565427205025e-07,0.004617327491488253,0.016775178173988478
top2_gap,True,1e-05,504,0.000920659727403438,0.0003298656061969031,0.0014815814582561481,0.047867063492063495,0.03249007936507937,0.06399429563492062,0.27976190476190477,141,504,6.955919341545419e-07,8.277448062166598e-06,0.01199288940333505,0.02634416834700264
top2_gap,True,0.0001,504,0.001360501976715867,0.0006846994227797212,0.0021219195013677155,0.058779761904761904,0.04253162202380953,0.07701202876984127,0.3611111111111111,182,504,6.987365786696973e-06,8.320884750638256e-05,0.012109714334605656,0.027063729996337438
top2_gap,True,0.001,504,0.0014466978899275093,0.0007114805330708645,0.002273169101745715,0.04538690476190476,0.03125,0.06138392857142857,0.39285714285714285,198,504,6.900145882965832e-05,0.0008445465596067046,0.011206793325477605,0.05913672803148216
top2_gap,True,0.01,504,0.0008733258169719557,0.0003012853533053644,0.0015347853356364844,0.05282738095238095,0.038070436507936505,0.06957465277777777,0.37103174603174605,187,504,0.0006896881523061893,0.00870655909335738,0.012667958669264432,0.02775189511634016
