prompt_id,ctx,layer,seed,prompt_tokens,gen_tokens,ppl,nll_true_next,seconds
seq_0213,256,31,43,256,16,1.0003156370844357,0.001975610153749585,0.6479175016283989
seq_0214,64,4,43,64,16,1.4823972491467774,0.915035605430603,0.6807848364114761
seq_0214,256,4,43,256,16,1.805255038450636,0.8288896083831787,0.6257431153208017
seq_0215,64,18,43,64,16,2.1537389973682926,7.533491134643555,0.6768843233585358
seq_0215,256,18,43,256,16,1.0429324811282286,5.3165931603871286e-05,0.6926455292850733
seq_0196,64,4,44,64,16,2.545739041097481,8.92609977722168,0.6214411538094282
seq_0196,256,4,44,256,16,1.0018517798286835,3.576278118089249e-07,0.6452679336071014
seq_0197,64,18,44,64,16,2.014480337210042,8.18407917022705,0.6453786790370941
seq_0197,256,18,44,256,16,1.0000394009181701,6.437280717364047e-06,0.6726549360901117
seq_0198,64,31,44,64,16,1.7005365197633393,13.12408447265625,0.6202903911471367
seq_0198,256,31,44,256,16,1.1081521530314786,0.35992810130119324,0.6675982605665922
seq_0199,64,4,44,64,16,3.1783979072601714,4.825356960296631,0.6218923013657331
seq_0199,256,4,44,256,16,1.0002615635246441,6.48477507638745e-05,0.6476034410297871
seq_0200,64,18,44,64,16,5.310988824109702,8.213411331176758,0.6360032558441162
seq_0200,256,18,44,256,16,2.3815704515866605,0.02381284534931183,0.6646065209060907
seq_0201,64,31,44,64,16,1.461670916637016,0.999549388885498,0.6407264489680529
seq_0201,256,31,44,256,16,1.0322896327897855,2.145764938177308e-06,0.6603495422750711
seq_0202,64,4,44,64,16,2.2930436558871095,7.647510528564453,0.6481661759316921
seq_0202,256,4,44,256,16,1.0742592676446236,4.625213477993384e-05,0.6433752104640007
seq_0203,64,18,44,64,16,2.8313863245619726,0.014395901933312416,0.6876358389854431
seq_0203,256,18,44,256,16,2.8058619465033594,2.9212965965270996,0.6374630648642778
seq_0204,64,31,44,64,16,5.897143455722928,1.8741750717163086,0.6490332279354334
seq_0204,256,31,44,256,16,1.0000736473626595,3.099436753473128e-06,0.6648542396724224
seq_0205,64,4,44,64,16,2.2168521075185907,0.7160924673080444,0.6366393640637398
seq_0205,256,4,44,256,16,1.0701960266029236,1.9550132492440753e-05,0.6209630202502012
seq_0206,64,18,44,64,16,1.6969537771243564,4.782725811004639,0.6837815921753645
seq_0206,256,18,44,256,16,1.9007786238720075,2.633009910583496,0.688196811825037
seq_0207,64,31,44,64,16,2.1529794331574004,1.2538201808929443,0.6142195016145706
seq_0207,256,31,44,256,16,1.0003175151606338,0.002141208155080676,0.6866122484207153
seq_0208,64,4,44,64,16,2.624315450025355,0.08034002780914307,0.663075277581811
seq_0208,256,4,44,256,16,1.0000196986752252,0.00014935807848814875,0.6239889767020941
