prompt_id,layer,ctx,k_kind,rel,bit_class,kv_head,abs_delta_k,max_es_u0,max_es_future,future_amplified,n_queries,fail_s_L1,fail_s_L2,fail_s_L16,fail_s_full
seq_0047,31,64,numeric,0.1,,1,0.140625,0.012041330337524414,0.020003795623779297,True,16,True,True,True,True
seq_0047,31,64,bitflip,,sign,1,2.796875,0.2394857406616211,0.3978555202484131,True,16,True,True,True,True
seq_0047,31,64,bitflip,,exponent,1,nan,nan,nan,False,16,True,True,True,True
seq_0047,31,64,bitflip,,mantissa,1,0.0078125,0.0006690025329589844,0.0011112689971923828,True,16,True,True,True,True
seq_0047,31,256,numeric,1e-06,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0047,31,256,numeric,1e-05,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0047,31,256,numeric,0.0001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0047,31,256,numeric,0.001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0047,31,256,numeric,0.01,,1,0.00390625,0.0001544952392578125,0.000423431396484375,True,16,True,True,True,True
seq_0047,31,256,numeric,0.1,,1,0.044921875,0.0017824172973632812,0.004870414733886719,True,16,True,True,True,True
seq_0047,31,256,bitflip,,sign,1,0.92578125,0.036759376525878906,0.10036754608154297,True,16,True,True,True,True
seq_0047,31,256,bitflip,,exponent,1,1.5751351750051253e+38,6.254184948635211e+36,1.70766441977827e+37,True,16,True,True,True,True
seq_0047,31,256,bitflip,,mantissa,1,0.001953125,7.82012939453125e-05,0.0002117156982421875,True,16,True,True,True,True
seq_0048,4,64,numeric,1e-06,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0048,4,64,numeric,1e-05,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0048,4,64,numeric,0.0001,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0048,4,64,numeric,0.001,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0048,4,64,numeric,0.01,,4,0.0078125,0.004596233367919922,0.006171703338623047,True,16,True,True,True,True
seq_0048,4,64,numeric,0.1,,4,0.0859375,0.05055999755859375,0.06788825988769531,True,16,True,True,True,True
seq_0048,4,64,bitflip,,sign,4,1.6875,0.9928150177001953,1.333076000213623,True,16,True,True,True,True
seq_0048,4,64,bitflip,,exponent,4,2.8711324708954183e+38,inf,inf,False,16,True,True,True,True
seq_0048,4,64,bitflip,,mantissa,4,0.00390625,0.0022983551025390625,0.003086090087890625,True,16,True,True,True,True
seq_0048,4,256,numeric,1e-06,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0048,4,256,numeric,1e-05,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0048,4,256,numeric,0.0001,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0048,4,256,numeric,0.001,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0048,4,256,numeric,0.01,,4,0.0078125,0.0008792877197265625,0.0020500123500823975,True,16,True,True,True,True
seq_0048,4,256,numeric,0.1,,4,0.07421875,0.008353948593139648,0.019475221633911133,True,16,True,True,True,True
seq_0048,4,256,bitflip,,sign,4,1.46875,0.16531801223754883,0.3854042589664459,True,16,True,True,True,True
