prompt_id,ctx,layer,seed,prompt_tokens,gen_tokens,ppl,nll_true_next,seconds
seq_0208,64,4,44,64,16,2.624315450025355,0.08034002780914307,0.6270920261740685
seq_0208,256,4,44,256,16,1.0000196986752252,0.00014935807848814875,0.6874074768275023
seq_0209,64,18,44,64,16,2.5973635534463435,4.085516929626465,0.6476042754948139
seq_0209,256,18,44,256,16,1.469243945965025,5.582616806030273,0.6329948231577873
seq_0210,64,31,44,64,16,3.3536240369664703,10.156058311462402,0.6834699381142855
seq_0210,256,31,44,256,16,1.001427174559519,2.5152843591058627e-05,0.6271583773195744
seq_0211,64,4,44,64,16,1.3253197556478957,0.6845148205757141,0.6771581023931503
seq_0211,256,4,44,256,16,1.6858779477960724,7.1058125495910645,0.6237732861191034
seq_0212,64,18,44,64,16,1.3288721765830172,0.04261135309934616,0.630648648366332
seq_0212,256,18,44,256,16,1.752172966593499,5.531158240046352e-05,0.6353653483092785
seq_0213,64,31,44,64,16,1.755544275673221,7.249845027923584,0.640702873468399
seq_0213,256,31,44,256,16,1.0003156370844357,0.001975610153749585,0.6508663166314363
seq_0214,64,4,44,64,16,1.4823972491467774,0.915035605430603,0.6241600830107927
seq_0214,256,4,44,256,16,1.805255038450636,0.8288896083831787,0.6454735398292542
seq_0215,64,18,44,64,16,2.1537389973682926,7.533491134643555,0.680342672392726
seq_0215,256,18,44,256,16,1.0429324811282286,5.3165931603871286e-05,0.6590657252818346
