k_kind,rel,bit_class,layer,n_trials,H_L1,H_L1_k,H_L1_n,H_L1_ci95_low,H_L1_ci95_high,H_L2,H_L2_k,H_L2_n,H_L2_ci95_low,H_L2_ci95_high,H_L16,H_L16_k,H_L16_n,H_L16_ci95_low,H_L16_ci95_high,H_Lfull,H_Lfull_k,H_Lfull_n,H_Lfull_ci95_low,H_Lfull_ci95_high,delayed_harm,delayed_harm_k,delayed_harm_n,delayed_harm_ci95_low,delayed_harm_ci95_high
numeric,0.1,,18,10,0.3,3,10,0.10778928748621183,0.6032267800204347,0.4,4,10,0.16817758120350962,0.6873304525498136,0.4,4,10,0.16817758120350962,0.6873304525498136,0.4,4,10,0.16817758120350962,0.6873304525498136,0.1,1,10,0.01787574951572113,0.4041563854975721
numeric,0.1,,31,10,0.2,2,10,0.056680947980693314,0.5098431532792765,0.4,4,10,0.16817758120350962,0.6873304525498136,0.5,5,10,0.23658959361548731,0.7634104063845126,0.5,5,10,0.23658959361548731,0.7634104063845126,0.3,3,10,0.10778928748621183,0.6032267800204347
numeric,0.1,,4,12,0.3333333333333333,4,12,0.13811783989736132,0.6093824126023861,0.5,6,12,0.2537781703934222,0.7462218296065778,0.6666666666666666,8,12,0.3906175873976138,0.8618821601026385,0.6666666666666666,8,12,0.3906175873976138,0.8618821601026385,0.3333333333333333,4,12,0.13811783989736132,0.6093824126023861
numeric,0.1,,all,32,0.28125,9,32,0.15564406845647866,0.4537483693811179,0.4375,14,32,0.2816508596944317,0.6067469796877387,0.53125,17,32,0.3644923793257382,0.6913087009831766,0.53125,17,32,0.3644923793257382,0.6913087009831766,0.25,8,32,0.13252243982621553,0.4210689177024662
numeric,1e-05,,18,10,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166
numeric,1e-05,,31,10,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166
numeric,1e-05,,4,12,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425
numeric,1e-05,,all,32,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635
numeric,1e-06,,18,10,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166
numeric,1e-06,,31,10,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166
numeric,1e-06,,4,12,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425
numeric,1e-06,,all,32,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635
