prompt_id,layer,ctx,kv_head,k_kind,rel,bit_class,abs_delta_k,ek_bin,n_queries,max_es_u0,max_es_future,max_es_lifetime,future_amplified,gain_u0,gain_p50,n_es_nonfinite,fail_s_L1,fail_s_L2,fail_s_L16,fail_s_Lfull
seq_0071,31,256,1,bitflip,,sign,2.8125,"[1,10)",16,0.12818050384521484,0.3126821517944336,0.3126821517944336,True,0.045575290256060184,0.050408935546857075,0,True,True,True,True
seq_0071,31,256,1,bitflip,,exponent,,nonfinite,16,,0.0,,False,,,16,True,True,True,True
seq_0071,31,256,1,bitflip,,mantissa,0.0078125,"[0.001,0.01)",16,0.00035572052001953125,0.0008792877197265625,0.0008792877197265625,True,0.04553222655667187,0.05041503905604687,0,True,True,True,True
seq_0072,4,64,4,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0072,4,64,4,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0072,4,64,4,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0072,4,64,4,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0072,4,64,4,numeric,0.01,,0.00390625,"[0.001,0.01)",16,0.00038051605224609375,0.0009279251098632812,0.0009279251098632812,True,0.09741210935006249,0.11737060543870312,0,True,True,True,True
seq_0072,4,64,4,numeric,0.1,,0.041015625,"[0.01,0.1)",16,0.003993511199951172,0.009743094444274902,0.009743094444274902,True,0.09736560639643566,0.11739095051797123,0,True,True,True,True
seq_0072,4,64,4,bitflip,,sign,0.82421875,"[0.1,1)",16,0.08025026321411133,0.19578790664672852,0.19578790664672852,True,0.09736524825965676,0.11739085409864312,0,True,True,True,True
seq_0072,4,64,4,bitflip,,exponent,1.4023355355530862e+38,"[10,inf)",16,1.3653879826865462e+37,2.7501433847734993e+37,2.7501433847734993e+37,True,0.0973652844180428,0.0973652844180428,1,True,True,True,True
seq_0072,4,64,4,bitflip,,mantissa,0.001953125,"[0.001,0.01)",16,0.0001900196075439453,0.0004639625549316406,0.0004639625549316406,True,0.0972900390126875,0.117431640564875,0,True,True,True,True
seq_0072,4,256,4,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0072,4,256,4,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0072,4,256,4,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0072,4,256,4,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0072,4,256,4,numeric,0.01,,0.0009765625,"[0.0001,0.001)",16,0.00015175342559814453,0.00017535686492919922,0.00017535686492919922,True,0.155395507653375,0.136108398298125,0,True,True,True,True
seq_0072,4,256,4,numeric,0.1,,0.01123046875,"[0.01,0.1)",16,0.0017448663711547852,0.002016305923461914,0.002016305923461914,True,0.1553689707742089,0.13602878735201795,0,True,True,True,True
seq_0072,4,256,4,bitflip,,sign,0.2265625,"[0.1,1)",16,0.03520113229751587,0.04067671298980713,0.04067671298980713,True,0.15537051496766013,0.1360352614824276,0,True,True,True,True
seq_0072,4,256,4,bitflip,,exponent,3.854761187776256e+37,"[10,inf)",16,5.989147730265994e+36,6.920792960921828e+36,6.920792960921828e+36,True,0.15537013678715147,0.1360351874910552,0,True,True,True,True
seq_0072,4,256,4,bitflip,,mantissa,0.00048828125,"[0.0001,0.001)",16,7.581710815429688e-05,8.7738037109375e-05,8.7738037109375e-05,True,0.155273437182,0.1359863278465,0,True,True,True,True
seq_0073,18,64,7,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0073,18,64,7,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0073,18,64,7,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0073,18,64,7,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0073,18,64,7,numeric,0.01,,0.001953125,"[0.001,0.01)",16,0.0002238750457763672,0.0002751350402832031,0.0002751350402832031,True,0.1146240233788125,0.07147216793215624,0,True,True,True,True
seq_0073,18,64,7,numeric,0.1,,0.021484375,"[0.01,0.1)",16,0.002462625503540039,0.0030264854431152344,0.0030264854431152344,True,0.11462402343216478,0.07146939364013934,0,True,True,True,True
seq_0073,18,64,7,bitflip,,sign,0.42578125,"[0.1,1)",16,0.04880690574645996,0.05997943878173828,0.05997943878173828,True,0.11462906303728812,0.0714702081241154,0,True,True,True,True
seq_0073,18,64,7,bitflip,,exponent,7.2442925770277915e+37,"[10,inf)",16,8.304033647306569e+36,1.0204957485812513e+37,1.0204957485812513e+37,True,0.11462863432158024,0.07147026499477002,0,True,True,True,True
seq_0073,18,64,7,bitflip,,mantissa,0.0009765625,"[0.0001,0.001)",16,0.00011205673217773438,0.0001652240753173828,0.0001652240753173828,True,0.1147460936325,0.09399414052875,0,True,True,True,True
seq_0073,18,256,7,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0073,18,256,7,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0073,18,256,7,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0073,18,256,7,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0073,18,256,7,numeric,0.01,,0.00390625,"[0.001,0.01)",16,0.0009765625,0.0011868476867675781,0.0011868476867675781,True,0.24999999993599997,0.1657104491763281,0,True,True,True,True
seq_0073,18,256,7,numeric,0.1,,0.052734375,"[0.01,0.1)",16,0.01318216323852539,0.016022682189941406,0.016022682189941406,True,0.24997287325914866,0.1657262731450055,0,True,True,True,True
seq_0073,18,256,7,bitflip,,sign,1.0546875,"[1,10)",16,0.2636435031890869,0.3204512596130371,0.3204512596130371,True,0.24997309931978612,0.16572808159706506,0,True,True,True,True
seq_0073,18,256,7,bitflip,,exponent,1.7944577943096364e+38,"[10,inf)",16,,2.924356353232745e+37,2.924356353232745e+37,False,,0.12429611771195023,6,True,True,True,True
seq_0073,18,256,7,bitflip,,mantissa,0.00390625,"[0.001,0.01)",16,0.0009763240814208984,0.0011868476867675781,0.0011868476867675781,True,0.2499389647797656,0.1657104491763281,0,True,True,True,True
seq_0074,31,64,0,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0074,31,64,0,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0074,31,64,0,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
